Symbol,Name,Sector,Price,Earnings/Share
CFG,Citizens Financial Group,Financials,42.19,3.27
CTXS,Citrix Systems,Information Technology,84.53,-0.24
CME,CME Group Inc.,Financials,153.04,11.94
CMS,CMS Energy,Utilities,41.77,1.99
KO,Coca-Cola Company (The),Consumer Staples,43.1,1.49
CTSH,Cognizant Technology Solutions,Information Technology,75.16,2.54
CL,Colgate-Palmolive,Consumer Staples,68.95,2.28
CMCSA,Comcast Corp.,Consumer Discretionary,38.19,4.74
CMA,Comerica Inc.,Financials,89.18,4.13
CAG,Conagra Brands,Consumer Staples,35.49,1.46
CXO,Concho Resources,Energy,140.09,-11.04
COP,ConocoPhillips,Energy,53.24,-0.65
ED,Consolidated Edison,Utilities,74.73,4.1
STZ,Constellation Brands,Consumer Staples,208.73,8.71
GLW,Corning Inc.,Information Technology,28.45,-0.78
COST,Costco Wholesale Corp.,Consumer Staples,178.61,6.09
COTY,"Coty, Inc",Consumer Staples,19.96,-0.63
CCI,Crown Castle International Corp.,Real Estate,103.81,1.02
CSRA,CSRA Inc.,Information Technology,30.85,1.83
CSX,CSX Corp.,Industrials,50.47,6.07
CMI,Cummins Inc.,Industrials,165.73,8.23
CVS,CVS Health,Consumer Staples,70.55,4.91
DHI,D. R. Horton,Consumer Discretionary,44.55,2.73
DHR,Danaher Corp.,Health Care,92.16,3.53
DRI,Darden Restaurants,Consumer Discretionary,91.33,3.81
DVA,DaVita Inc.,Health Care,71.91,4.3
DE,Deere & Co.,Industrials,153.66,6.64
DAL,Delta Air Lines Inc.,Industrials,51.23,4.94
XRAY,Dentsply Sirona,Health Care,56.85,1.99
DVN,Devon Energy Corp.,Energy,34.94,-6.89
DLR,Digital Realty Trust Inc,Real Estate,98.96,2.19
DFS,Discover Financial Services,Financials,72.4,5.41
DISCA,Discovery Communications-A,Consumer Discretionary,22.87,1.96
DISCK,Discovery Communications-C,Consumer Discretionary,21.58,1.96
DISH,Dish Network,Consumer Discretionary,43.77,3.06
DG,Dollar General,Consumer Discretionary,95.1,4.43
DLTR,Dollar Tree,Consumer Discretionary,101.58,3.77
D,Dominion Energy,Utilities,73.31,4.91
DOV,Dover Corp.,Industrials,96.2,5.15
DWDP,DowDuPont,Materials,68.21,1.59
DPS,Dr Pepper Snapple Group,Consumer Staples,116.93,4.54
DTE,DTE Energy Co.,Utilities,98.49,4.82
DUK,Duke Energy,Utilities,74.32,3.12
DRE,Duke Realty Corp,Real Estate,24.52,0.88
DXC,DXC Technology,Information Technology,91.92,-0.89
ETFC,E*Trade,Financials,48.48,2.15
EMN,Eastman Chemical,Materials,93.57,10.12
ETN,Eaton Corporation,Industrials,79.41,6.68
EBAY,eBay Inc.,Information Technology,41.02,-1.07
ECL,Ecolab Inc.,Materials,127.76,4.14
EIX,Edison Int'l,Utilities,58.07,3.96
EW,Edwards Lifesciences,Health Care,123.78,2.88
EA,Electronic Arts,Information Technology,116.54,3.07
EMR,Emerson Electric Company,Industrials,66.4,2.35
ETR,Entergy Corp.,Utilities,72.02,-3.26
EVHC,Envision Healthcare,Health Care,35.34,-0.48
EOG,EOG Resources,Energy,101.04,-1.98
EQT,EQT Corporation,Energy,46.25,-2.69
EFX,Equifax Inc.,Industrials,114,4.04
EQIX,Equinix,Real Estate,409.98,1.77
EQR,Equity Residential,Real Estate,55.26,1.63
ESS,"Essex Property Trust, Inc.",Real Estate,218.28,6.27
EL,Estee Lauder Cos.,Consumer Staples,131.46,3.35
RE,Everest Re Group Ltd.,Financials,241.06,23.71
ES,Eversource Energy,Utilities,56.11,2.96
EXC,Exelon Corp.,Utilities,35.98,1.23
EXPE,Expedia Inc.,Consumer Discretionary,123.03,1.81
EXPD,Expeditors International,Industrials,60.36,2.36
ESRX,Express Scripts,Health Care,73.35,5.39
EXR,Extra Space Storage,Real Estate,77.56,2.92
XOM,Exxon Mobil Corp.,Energy,76.07,1.88
FFIV,F5 Networks,Information Technology,137.25,6.51
FB,"Facebook, Inc.",Information Technology,171.58,5.39
FAST,Fastenal Co,Industrials,52.15,2.01
FRT,Federal Realty Investment Trust,Real Estate,108.11,3.5
FDX,FedEx Corporation,Industrials,239.27,11.07
FIS,Fidelity National Information Services,Information Technology,92.74,1.72
FITB,Fifth Third Bancorp,Financials,31.1,2.85
FE,FirstEnergy Corp,Utilities,30.64,-14.49
FISV,Fiserv Inc,Information Technology,133.05,4.14
FLIR,FLIR Systems,Information Technology,46.46,1.21
FLS,Flowserve Corporation,Industrials,40.82,1.12
FLR,Fluor Corp.,Industrials,55.31,1.99
FMC,FMC Corporation,Materials,80.87,1.56
FL,Foot Locker Inc,Consumer Discretionary,45.88,4.91
F,Ford Motor,Consumer Discretionary,10.43,1.9
FTV,Fortive Corp,Industrials,69.14,2.46
FBHS,Fortune Brands Home & Security,Industrials,62.44,3.04
BEN,Franklin Resources,Financials,38,3
FCX,Freeport-McMoRan Inc.,Materials,17.16,1.24
GPS,Gap Inc.,Consumer Discretionary,31.17,1.69
GRMN,Garmin Ltd.,Consumer Discretionary,61.13,2.69
IT,Gartner Inc,Information Technology,114.26,2.31
GD,General Dynamics,Industrials,206.05,9.55
GE,General Electric,Industrials,14.45,-0.72
GGP,General Growth Properties Inc.,Real Estate,21.62,1.34
GIS,General Mills,Consumer Staples,53.99,2.77
GM,General Motors,Consumer Discretionary,40.75,6
GPC,Genuine Parts,Consumer Discretionary,96.31,4.6
GILD,Gilead Sciences,Health Care,78.22,9.95
GPN,Global Payments Inc.,Information Technology,100.59,1.58
GS,Goldman Sachs Group,Financials,246.35,8.61
GT,Goodyear Tire & Rubber,Consumer Discretionary,30.75,4.74
GWW,Grainger (W.W.) Inc.,Industrials,258.6,10.02
HAL,Halliburton Co.,Energy,47.41,-0.53
HBI,Hanesbrands Inc,Consumer Discretionary,19.57,1.41
HOG,Harley-Davidson,Consumer Discretionary,47.54,2.98
HRS,Harris Corporation,Information Technology,149.84,4.43
HIG,Hartford Financial Svc.Gp.,Financials,53.34,2.27
HAS,Hasbro Inc.,Consumer Discretionary,96.48,4.34
HCA,HCA Holdings,Health Care,95.97,5.94
HCP,HCP Inc.,Real Estate,22.64,1.33
HP,Helmerich & Payne,Energy,64.87,-1.2
HSIC,Henry Schein,Health Care,70.85,3.1
HES,Hess Corporation,Energy,43,-19.94
HPE,Hewlett Packard Enterprise,Information Technology,15.04,0.21
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,78.66,1.05
HOLX,Hologic,Health Care,38.8,2.64
HD,Home Depot,Consumer Discretionary,181.22,6.46
HON,Honeywell Int'l Inc.,Industrials,146.02,2.08
HRL,Hormel Foods Corp.,Consumer Staples,32.21,1.57
HST,Host Hotels & Resorts,Real Estate,18.75,1.02
HPQ,HP Inc.,Information Technology,19.92,1.49
HUM,Humana Inc.,Health Care,262.37,4.06
HBAN,Huntington Bancshares,Financials,15.1,1
HII,Huntington Ingalls Industries,Industrials,225.37,12.15
IDXX,IDEXX Laboratories,Health Care,169.28,2.94
INFO,IHS Markit Ltd.,Industrials,43.73,1
ITW,Illinois Tool Works,Industrials,156.15,4.86
ILMN,Illumina Inc,Health Care,209.54,4.92
INCY,Incyte,Health Care,83.92,0.54
IR,Ingersoll-Rand PLC,Industrials,87.6,5.07
INTC,Intel Corp.,Information Technology,42.75,1.98
ICE,Intercontinental Exchange,Financials,67,2.37
IBM,International Business Machines,Information Technology,147.59,6.11
IP,International Paper,Materials,56.05,5.14
IPG,Interpublic Group,Consumer Discretionary,21.34,1.49
IFF,Intl Flavors & Fragrances,Materials,138,5.05
INTU,Intuit Inc.,Information Technology,152.75,3.72
ISRG,Intuitive Surgical Inc.,Health Care,381.87,5.67
IVZ,Invesco Ltd.,Financials,31.92,2.74
IQV,IQVIA Holdings Inc.,Health Care,95.23,0.76
IRM,Iron Mountain Incorporated,Real Estate,32.07,0.46
JBHT,J. B. Hunt Transport Services,Industrials,114.81,6.19
JEC,Jacobs Engineering Group,Industrials,62.82,2.43
SJM,JM Smucker,Consumer Staples,118.37,5.1
JNJ,Johnson & Johnson,Health Care,126.36,0.39
JCI,Johnson Controls International,Industrials,36.55,1.71
JPM,JPMorgan Chase & Co.,Financials,107.88,6.3
JNPR,Juniper Networks,Information Technology,24.66,0.78
KSU,Kansas City Southern,Industrials,103.53,9.16
K,Kellogg Co.,Consumer Staples,65.98,1.95
KEY,KeyCorp,Financials,20.08,1.12
KMB,Kimberly-Clark,Consumer Staples,111.69,6.41
KIM,Kimco Realty,Real Estate,14.01,0.8
KMI,Kinder Morgan,Energy,16.8,0.01
KLAC,KLA-Tencor Corp.,Information Technology,98.54,5.88
KSS,Kohl's Corp.,Consumer Discretionary,60.34,3.12
KHC,Kraft Heinz Co,Consumer Staples,71.58,2.81
KR,Kroger Co.,Consumer Staples,27.57,2.05
LB,L Brands Inc.,Consumer Discretionary,47.77,3.98
LLL,L-3 Communications Holdings,Industrials,198.79,8.51
LH,Laboratory Corp. of America Holding,Health Care,165.46,7.02
LRCX,Lam Research,Information Technology,162.23,9.22
LEG,Leggett & Platt,Consumer Discretionary,43.99,2.76
LEN,Lennar Corp.,Consumer Discretionary,59.11,3.38
LUK,Leucadia National Corp.,Financials,23.86,0.33
LLY,Lilly (Eli) & Co.,Health Care,74.21,-0.2
LNC,Lincoln National,Financials,73.86,9.24
LKQ,LKQ Corporation,Consumer Discretionary,38.86,1.5
LMT,Lockheed Martin Corp.,Industrials,334.3,6.83
L,Loews Corp.,Financials,46.05,1.93
LOW,Lowe's Cos.,Consumer Discretionary,95.01,3.46
LYB,LyondellBasell,Materials,105.79,12.25
MTB,M&T Bank Corp.,Financials,178.35,8.69
MAC,Macerich,Real Estate,58.36,3.43
M,Macy's Inc.,Consumer Discretionary,24,1.98
MRO,Marathon Oil Corp.,Energy,15.68,-2.65
MPC,Marathon Petroleum,Energy,62.79,6.85
MAR,Marriott Int'l.,Consumer Discretionary,133.88,2.67
MMC,Marsh & McLennan,Financials,79.31,2.87
MLM,Martin Marietta Materials,Materials,208.42,6.63
MAS,Masco Corp.,Industrials,40.7,1.47
MA,Mastercard Inc.,Information Technology,160.62,3.65
MAT,Mattel Inc.,Consumer Discretionary,16,-3.06
MKC,McCormick & Co.,Consumer Staples,101.36,3.73
MCD,McDonald's Corp.,Consumer Discretionary,158.97,6.36
MCK,McKesson Corp.,Health Care,150.23,22.74
MDT,Medtronic plc,Health Care,78.38,2.89
MRK,Merck & Co.,Health Care,54.73,1.4
MET,MetLife Inc.,Financials,44.28,0.63
MTD,Mettler Toledo,Health Care,601,14.24
MGM,MGM Resorts International,Consumer Discretionary,33.5,1.92
KORS,Michael Kors Holdings,Consumer Discretionary,60.03,3.31
MCHP,Microchip Technology,Information Technology,79.9,0.66
MU,Micron Technology,Information Technology,40,4.36
MSFT,Microsoft Corp.,Information Technology,85.01,2.97
MAA,Mid-America Apartments,Real Estate,85.39,2.86
MHK,Mohawk Industries,Consumer Discretionary,256.57,12.48
TAP,Molson Coors Brewing Company,Consumer Staples,74.51,9.27
MDLZ,Mondelez International,Consumer Staples,42.68,1.91
MON,Monsanto Co.,Materials,119.08,5.09
MNST,Monster Beverage,Consumer Staples,61.99,1.19
MCO,Moody's Corp,Financials,152.14,1.35
MS,Morgan Stanley,Financials,51.79,3.09
MSI,Motorola Solutions Inc.,Information Technology,98.74,-1.08
MYL,Mylan N.V.,Health Care,39.25,0.93
NDAQ,"Nasdaq, Inc.",Financials,75.21,4.32
NOV,National Oilwell Varco Inc.,Energy,32.64,-6.4
NAVI,Navient,Financials,13.38,1.01
NTAP,NetApp,Information Technology,55.85,1.81
NFLX,Netflix Inc.,Information Technology,250.1,1.25
NWL,Newell Brands,Consumer Discretionary,27.91,1.17
NFX,Newfield Exploration Co,Energy,26.38,-6.5
NEM,Newmont Mining Corporation,Materials,36.61,-1.18
NWSA,News Corp. Class A,Consumer Discretionary,15.65,-1.28
NWS,News Corp. Class B,Consumer Discretionary,15.85,-1.28
NEE,NextEra Energy,Utilities,145.29,11.39
NLSN,Nielsen Holdings,Industrials,33.9,1.39
NKE,Nike,Consumer Discretionary,62.49,2.51
